WARD,month,permits
2,2021-04,1
3,2007-12,20
3,2008-02,1
3,2008-03,2
3,2008-04,7
3,2008-07,2
3,2008-08,2
3,2008-09,1
3,2008-10,3
3,2008-11,1
3,2008-12,1
3,2009-01,2
3,2009-02,1
3,2009-04,1
3,2009-06,7
3,2009-07,19
3,2009-08,1
3,2009-09,1
3,2009-10,2
3,2010-01,1
3,2010-02,4
3,2010-04,1
3,2010-05,1
3,2010-06,3
3,2010-07,1
3,2010-09,1
3,2010-10,1
3,2010-11,1
3,2011-04,1
3,2011-06,8
3,2011-07,1
3,2011-09,1
3,2011-12,1
3,2012-03,2
3,2012-05,1
3,2012-07,1
3,2012-08,1
3,2012-10,1
3,2013-01,5
3,2013-02,1
3,2013-03,4
3,2013-04,3
3,2013-05,7
3,2013-06,2
3,2013-08,1
3,2013-09,4
3,2013-10,4
3,2013-11,1
3,2014-02,14
3,2014-03,2
3,2014-04,4
3,2014-05,1
3,2014-06,7
3,2014-07,2
3,2014-09,2
3,2014-10,1
3,2014-11,1
3,2014-12,1
3,2015-01,1
3,2015-02,3
3,2015-03,2
3,2015-04,2
3,2015-05,2
3,2015-07,2
3,2015-08,2
3,2015-09,6
3,2015-10,3
3,2015-11,2
3,2015-12,3
3,2016-01,1
3,2016-02,8
3,2016-03,14
3,2016-05,6
3,2016-06,5
3,2016-07,2
3,2016-08,4
3,2016-09,3
3,2016-10,8
3,2016-11,5
3,2016-12,6
3,2017-01,4
3,2017-02,6
3,2017-03,4
3,2017-04,5
3,2017-05,6
3,2017-06,9
3,2017-07,5
3,2017-08,10
3,2017-09,6
3,2017-10,2
3,2017-11,3
3,2017-12,5
3,2018-01,2
3,2018-02,4
3,2018-03,11
3,2018-04,4
3,2018-05,10
3,2018-06,7
3,2018-07,10
3,2018-08,10
3,2018-09,5
3,2018-10,5
3,2018-11,4
3,2018-12,1
3,2019-01,4
3,2019-02,2
3,2019-03,2
3,2019-04,8
3,2019-05,12
3,2019-06,6
3,2019-07,4
3,2019-08,7
3,2019-09,7
3,2019-10,6
3,2019-11,5
3,2019-12,3
3,2020-01,1
3,2020-02,2
3,2020-04,4
3,2020-05,4
3,2020-06,2
3,2020-07,3
3,2020-08,4
3,2020-09,3
3,2020-10,6
3,2020-11,3
3,2020-12,3
3,2021-01,4
3,2021-02,6
3,2021-03,2
3,2021-04,2
4,2007-08,1
4,2008-04,1
4,2008-05,1
4,2008-06,2
4,2008-07,2
4,2008-08,3
4,2008-09,3
4,2008-11,1
4,2008-12,2
4,2009-01,1
4,2009-03,7
4,2009-08,2
4,2009-09,1
4,2009-10,1
4,2009-11,1
4,2010-01,1
4,2010-03,1
4,2010-06,2
4,2010-07,2
4,2010-08,1
4,2010-09,2
4,2010-10,1
4,2011-01,1
4,2011-03,2
4,2011-04,1
4,2011-06,3
4,2011-08,1
4,2011-09,2
4,2011-12,3
4,2012-03,1
4,2012-05,5
4,2012-06,14
4,2012-07,2
4,2012-08,2
4,2012-10,7
4,2012-11,2
4,2013-02,5
4,2013-03,1
4,2013-06,2
4,2013-09,4
4,2013-10,1
4,2013-11,1
4,2013-12,2
4,2014-02,2
4,2014-03,3
4,2014-04,1
4,2014-05,2
4,2014-06,8
4,2014-07,3
4,2014-08,6
4,2014-09,2
