month_year,count
01/08/2022,20.80159051
01/09/2022,21.38437681
01/10/2022,27.1476907
01/11/2022,13.55203047
01/12/2022,8.782946275
01/01/2023,12.60018876
01/02/2023,10.11707981
01/03/2023,26.71196067
01/04/2023,34.42413316
01/05/2023,27.04525926
01/06/2023,25.55923948
01/07/2023,22.76974173
01/08/2023,26.40642057
01/09/2023,27.21738639
01/10/2023,35.38846235
01/11/2023,16.57847915
01/12/2023,10.41192355
01/01/2024,15.32691548
01/02/2024,12.10977491
01/03/2024,34.76144448
01/04/2024,46.0678681
